Name,Position,PositionDB,DOB,College,Draft Team,Draft Round,Pick Number,Draft Year
Dezman Moses, Linebacker,LB,1989-01-04,Tulane,,,,
Dezmen Southward, Defensive Back,DB,1991-10-01,Wisconsin,Falcons,3,68,2014
Dezmon Briscoe, Wide Receiver,WR,1989-08-14,Kansas,Bengals,6,191,2010
Dhani Jones, Linebacker,LB,1978-02-22,Michigan,Giants,6,177,2000
Dimitri Nance, Running Back,RB,1988-02-18,Arizona State,,,,
Dimitri Patterson, Defensive Back,DB,1982-12-01,Tuskegee,,,,
Dion Bailey, Defensive Back,DB,1992-03-02,Southern California,,,,
Dion Gales, Defensive End,DL,1985-08-17,Troy State,,,,
Dion Jordan, Defensive End,DL,1990-03-05,Oregon,Dolphins,1,3,2013
Dion Lewis, Running Back,RB,1990-09-27,Pittsburgh,Eagles,5,149,2011
Dion Sims, Tight End,TE,1991-02-18,Michigan State,Dolphins,4,106,2013
Dirk Johnson, Punter,P,1975-06-01,Northern Colorado,,,,
Diyral Briggs, Linebacker,LB,1985-10-31,Bowling Green,,,,
Dom DeCicco, Linebacker,LB,1988-09-11,Pittsburgh,,,,
Domata Peko, Defensive Tackle,DL,1984-11-27,Michigan State,Bengals,4,123,2006
Domenik Hixon, Defensive Back,DB,1984-10-08,Akron,Broncos,4,130,2006
Dominic Raiola, Center,OL,1978-12-30,Nebraska,Lions,2,50,2001
Dominic Rhodes, Running Back,RB,1979-01-17,Midwestern State,,,,
Dominique Barber, Defensive Back,DB,1986-08-02,Minnesota,Texans,6,173,2008
Dominique Byrd, Tight End,TE,1984-02-07,Southern California,Rams,3,93,2006
Dominique Curry, Wide Receiver,WR,1987-08-16,California (PA),,,,
Dominique Davis, Quarterback,QB,1989-07-17,East Carolina,,,,
Dominique Easley, Defensive End,DL,1992-04-28,Florida,Patriots,1,29,2014
Dominique Franks, Defensive Back,DB,1987-10-08,Oklahoma,Falcons,5,135,2010
Dominique Jones, Tight End,TE,1987-08-15,Shepherd,,,,
Dominique Rodgers-Cromartie, Defensive Back,DB,1986-04-07,Tennessee State,Cardinals,1,16,2008
Dominique Zeigler, Wide Receiver,WR,1984-10-11,Baylor,,,,
Domonique Foxworth, Defensive Back,DB,1983-03-27,Maryland,Broncos,3,97,2005
Don Barclay, Offensive Guard,OL,1989-04-18,West Virginia,,,,
Don Carey, Defensive Back,DB,1987-02-14,Norfolk State,Browns,6,177,2009
Don Muhlbach, Long Snapper,OL,1981-08-17,Texas A&M,,,,
Donald Butler, Linebacker,LB,1988-10-17,Washington,Chargers,3,79,2010
Donald Driver, Wide Receiver,WR,1975-02-02,Alcorn State,Packers,7,213,
Donald Jones, Wide Receiver,WR,1987-12-17,Youngstown State,,,,
Donald Lee, Tight End,TE,1980-08-31,Mississippi State,Dolphins,5,156,2003
Donald Penn, Offensive Tackle,OL,1983-04-27,Utah State,,,,
Donald Stephenson, Offensive Guard,OL,1988-09-30,Oklahoma,Chiefs,3,74,2012
Donald Strickland, Defensive Back,DB,1980-11-24,Colorado,Colts,3,90,2003
Donald Thomas, Offensive Guard,OL,1985-09-25,Connecticut,Dolphins,6,195,2008
Donald Washington, Defensive Back,DB,1986-07-28,Ohio State,Chiefs,4,102,2009
Donnie Avery, Wide Receiver,WR,1984-06-12,Houston,Rams,2,33,2008
Donnie Jones, Punter,P,1980-07-05,Louisiana State,Seahawks,7,224,2004
Donnie Nickey, Defensive Back,DB,1980-04-25,Ohio State,Titans,5,154,2003
Donovan McNabb, Quarterback,QB,1976-11-25,Syracuse,Eagles,1,2,
Donovan Woods, Linebacker,LB,1985-07-27,Oklahoma State,,,,
Dont'a Hightower, Linebacker,LB,1990-03-12,Alabama,Patriots,1,25,2012
Dontae Johnson, Defensive Back,DB,1991-12-01,North Carolina State,49ers,4,129,2014
Dontari Poe, Defensive Tackle,DL,1990-08-18,Memphis,Chiefs,1,11,2012
Dontay Moch, Linebacker,LB,1988-07-19,Nevada,Bengals,3,66,2011
Donte Moncrief, Wide Receiver,WR,1993-08-06,Mississippi,Colts,3,90,2014
Donte Whitner, Defensive Back,DB,1985-07-24,Ohio State,Bills,1,8,2006
Donte' Stallworth, Wide Receiver,WR,1980-11-10,Tennessee,Saints,1,13,2002
Donteea Dye, Wide Receiver,WR,1993-08-20,Heidelberg,,,,
Dontrelle Inman, Wide Receiver,WR,1989-01-31,Virginia,,,,
Dorial Green-Beckham, Wide Receiver,WR,1993-04-12,Missouri,Titans,2,40,2015
Dorin Dickerson, Tight End,TE,1988-03-31,Pittsburgh,Texans,7,227,2010
Doug Baldwin, Wide Receiver,WR,1988-09-21,Stanford,,,,
Doug Free, Offensive Tackle,OL,1984-01-06,Northern Illinois,Cowboys,4,122,2007
Doug Hogue, Linebacker,LB,1989-02-01,Syracuse,Lions,5,157,2011
Doug Legursky, Center,OL,1986-06-09,Marshall,,,,
Doug Worthington, Defensive Tackle,DL,1987-08-10,Ohio State,Steelers,7,242,2010
Drake Nevis, Defensive Tackle,DL,1989-05-08,Louisiana State,Colts,3,87,2011
Drayton Florence, Defensive Back,DB,1980-12-19,Tuskegee,Chargers,2,46,2003
Dre Kirkpatrick, Defensive Back,DB,1989-10-26,Alabama,Bengals,1,17,2012
Dre Moore, Defensive Tackle,DL,1985-06-09,Maryland,Buccaneers,4,115,2008
Dre' Bly, Defensive Back,DB,1977-05-22,North Carolina,Rams,2,41,
Drew Brees, Quarterback,QB,1979-01-15,Purdue,Chargers,2,32,2001
Drew Butler, Punter,P,1989-05-10,Georgia,,,,
Drew Coleman, Defensive Back,DB,1983-04-22,Texas Christian,Jets,6,189,2006
Drew Davis, Wide Receiver,WR,1989-01-04,Oregon,,,,
Drew Nowak, Defensive Tackle,DL,1990-03-07,Western Michigan,,,,
Drew Stanton, Quarterback,QB,1984-05-07,Michigan State,Lions,2,43,2007
Dri Archer, Running Back,RB,1991-08-09,Kent State,Steelers,3,97,2014
Duane Brown, Offensive Tackle,OL,1985-08-30,Virginia Tech,Texans,1,26,2008
DuJuan Harris, Running Back,RB,1988-09-03,Troy State,,,,
Duke Calhoun, Wide Receiver,WR,1987-09-01,Memphis,,,,
Duke Ihenacho, Defensive Back,DB,1989-06-16,San Jose State,,,,
Duke Johnson, Running Back,RB,1993-09-23,Miami,Browns,3,77,2015
Duke Williams, Defensive Back,DB,1990-10-15,Nevada,Bills,4,105,2013
Dunta Robinson, Defensive Back,DB,1982-04-11,South Carolina,Texans,1,10,2004
Duron Harmon, Defensive Back,DB,1991-01-24,Rutgers,Patriots,3,91,2013
Dustin Colquitt, Punter,P,1982-05-06,Tennessee,Chiefs,3,99,2005
Dustin Hopkins, Kicker,K,1990-10-01,Florida State,Bills,6,177,2013
Dustin Keller, Tight End,TE,1984-09-25,Purdue,Jets,1,30,2008
Dwan Edwards, Defensive Tackle,DL,1981-05-16,Oregon State,Ravens,2,51,2004
Dwayne Allen, Tight End,TE,1990-02-24,Clemson,Colts,3,64,2012
Dwayne Bowe, Wide Receiver,WR,1984-09-21,Louisiana State,Chiefs,1,23,2007
Dwayne Gratz, Defensive Back,DB,1990-03-08,Connecticut,Jaguars,3,64,2013
Dwayne Harris, Wide Receiver,WR,1987-09-16,East Carolina,Cowboys,6,176,2011
Dwayne Jarrett, Wide Receiver,WR,1986-09-11,Southern California,Panthers,2,45,2007
Dwight Freeney, Defensive End,DL,1978-01-04,Syracuse,Colts,1,11,2002
Dwight Lowery, Defensive Back,DB,1986-01-23,San Jose State,Jets,4,113,2008
Dylan Gandy, Offensive Guard,OL,1982-03-08,Texas Tech,Colts,4,129,2005
E.J. Bibbs, Tight End,TE,1991-08-28,Iowa State,,,,
E.J. Gaines, Defensive Back,DB,1992-02-23,Missouri,Rams,6,188,2014
E.J. Henderson, Linebacker,LB,1980-08-03,Maryland,Vikings,2,40,2003
E.J. Wilson, Defensive End,DL,1987-10-28,North Carolina,Seahawks,4,127,2010
Earl Mitchell, Defensive Tackle,DL,1987-09-25,Arizona,Texans,3,81,2010
Earl Okine, Defensive End,DL,1990-01-04,Florida,,,,
Earl Watford, Offensive Guard,OL,1990-06-24,James Madison,Cardinals,4,116,2013
Earl Wolff, Defensive Back,DB,1989-12-15,North Carolina State,Eagles,5,136,2013
Early Doucet, Wide Receiver,WR,1985-10-28,Louisiana State,Cardinals,3,81,2008
Earnest Graham, Running Back,RB,1980-01-15,Florida,,,,
Eben Britton, Offensive Tackle,OL,1987-10-14,Arizona,Jaguars,2,39,2009
Ed Dickson, Tight End,TE,1987-07-25,Oregon,Ravens,3,70,2010
Ed Reed, Defensive Back,DB,1978-09-11,Miami,Ravens,1,24,2002
Ed Stinson, Defensive End,DL,1990-02-15,Alabama,Cardinals,5,160,2014
Eddie Goldman, Defensive Tackle,DL,1994-01-06,Florida State,Bears,2,39,2015
Eddie Lacy, Running Back,RB,1990-06-02,Alabama,Packers,2,61,2013
Eddie Pleasant, Defensive Back,DB,1988-12-17,Oregon,,,,
Eddie Royal, Wide Receiver,WR,1986-05-21,Virginia Tech,Broncos,2,42,2008
Eddie Williams, Running Back,RB,1987-08-22,Idaho,Redskins,7,221,2009
Edgerrin James, Running Back,RB,1978-08-01,Miami,Colts,1,4,
Edmond Gates, Wide Receiver,WR,1986-06-13,Abilene Christian,Dolphins,4,111,2011
Edmond Robinson, Linebacker,LB,1992-02-23,Newberry,Vikings,7,232,2015
Edwin Baker, Running Back,RB,1991-06-01,Michigan State,Chargers,7,250,2012
Edwin Williams, Center,OL,1986-12-10,Maryland,,,,
Ego Ferguson, Defensive Tackle,DL,1991-09-22,Louisiana State,Bears,2,51,2014
Elbert Mack, Defensive Back,DB,1986-07-14,Troy State,,,,
Eldra Buckley, Running Back,RB,1985-06-23,Tennessee-Chattanooga,,,,
Eli Harold, Defensive End,DL,1994-01-20,Virginia,49ers,3,79,2015
Eli Manning, Quarterback,QB,1981-01-03,Mississippi,Chargers,1,1,2004
Ellis Hobbs, Defensive Back,DB,1983-05-16,Iowa State,Patriots,3,84,2005
Ellis Lankster, Defensive Back,DB,1986-06-03,West Virginia,Bills,7,220,2009
Elvis Dumervil, Defensive End,DL,1984-01-19,Louisville,Broncos,4,126,2006
Emanuel Cook, Defensive Back,DB,1988-01-20,South Carolina,,,,
Emmanuel Acho, Linebacker,LB,1990-11-10,Texas,Browns,6,204,2012
Emmanuel Arceneaux, Wide Receiver,WR,1987-09-17,Alcorn State,,,,
Emmanuel Lamur, Linebacker,LB,1989-06-08,Kansas State,,,,
Emmanuel Sanders, Wide Receiver,WR,1987-03-17,Southern Methodist,Steelers,3,82,2010
Emmanuel Stephens, Defensive End,DL,1987-02-17,Mississippi,,,,
Ereck Flowers, Offensive Tackle,OL,1994-04-25,Miami,Giants,1,9,2015
Eric Alexander, Linebacker,LB,1982-02-08,Louisiana State,,,,
Eric Barton, Linebacker,LB,1977-09-29,Maryland,Raiders,5,146,
Eric Berry, Defensive Back,DB,1988-12-29,Tennessee,Chiefs,1,5,2010
Eric Decker, Wide Receiver,WR,1987-03-15,Minnesota,Broncos,3,87,2010
Eric Ebron, Tight End,TE,1993-04-10,North Carolina,Lions,1,10,2014
Eric Fisher, Offensive Tackle,OL,1991-01-05,Central Michigan,Chiefs,1,1,2013
Eric Foster, Defensive Tackle,DL,1985-04-05,Rutgers,,,,
Eric Frampton, Defensive Back,DB,1984-02-06,Washington State,Raiders,5,165,2007
Eric Hagg, Defensive Back,DB,1989-09-15,Nebraska,Browns,7,248,2011
Eric Kendricks, Linebacker,LB,1992-02-29,UCLA,Vikings,2,45,2015
Eric Norwood, Linebacker,LB,1988-05-24,South Carolina,Panthers,4,124,2010
Eric Page, Wide Receiver,WR,1991-09-23,Toledo,,,,
Eric Patterson, Defensive Back,DB,1993-02-05,Ball State,,,,
Eric Reid, Defensive Back,DB,1991-12-10,Louisiana State,49ers,1,18,2013
Eric Rowe, Defensive Back,DB,1992-10-03,Utah,Eagles,2,47,2015
Eric Weddle, Defensive Back,DB,1985-01-04,Utah,Chargers,2,37,2007
Eric Weems, Wide Receiver,WR,1985-07-04,Bethune-Cookman,,,,
Eric Winston, Offensive Tackle,OL,1983-11-17,Miami,Texans,3,66,2006
Eric Wood, Center,OL,1986-03-18,Louisville,Bills,1,28,2009
Erik Coleman, Defensive Back,DB,1982-05-06,Washington State,Jets,5,143,2004
Erik Cook, Center,OL,1987-07-05,New Mexico,Redskins,7,229,2010
Erik Lorig, Defensive End,DL,1986-11-17,Stanford,Buccaneers,7,253,2010
Erik Pears, Offensive Tackle,OL,1982-06-25,Colorado State,,,,
Erik Walden, Defensive End,DL,1985-08-21,Middle Tennessee State,Cowboys,6,167,2008
Erin Henderson, Linebacker,LB,1986-07-01,Maryland,,,,
Ernest Wilford, Wide Receiver,WR,1979-01-14,Virginia Tech,Jaguars,4,120,2004
Ernie Sims, Linebacker,LB,1984-12-23,Florida State,Lions,1,9,2006
Ervin Baldwin, Defensive End,DL,1986-08-25,Michigan State,Bears,7,208,2008
Ethan Westbrooks, Defensive Tackle,DL,1990-11-15,West Texas A&M,,,,
Eugene Amano, Center,OL,1982-08-01,Southeast Missouri State,Titans,7,239,2004
Eugene Monroe, Offensive Tackle,OL,1987-04-18,Virginia,Jaguars,1,8,2009
Eugene Sims, Defensive End,DL,1986-03-18,West Texas A&M,Rams,6,189,2010
Eugene Wilson, Defensive Back,DB,1980-08-17,Illinois,Patriots,2,36,2003
Evan Mathis, Offensive Guard,OL,1981-11-01,Alabama,Panthers,3,79,2005
Evan Moore, Tight End,TE,1985-01-03,Stanford,,,,
Evan Oglesby, Defensive Back,DB,1981-12-18,North Alabama,,,,
Evan Rodriguez, Running Back,RB,1988-09-21,Temple,Bears,4,111,2012
Evan Royster, Running Back,RB,1987-11-26,Penn State,Redskins,6,177,2011
Evander Hood, Defensive Tackle,DL,1987-02-16,Missouri,Steelers,1,32,2009
Everette Brown, Defensive End,DL,1987-08-07,Florida State,Panthers,2,43,2009
Everson Griffen, Defensive End,DL,1987-12-22,Southern California,Vikings,4,100,2010
Ezekiel Ansah, Defensive End,DL,1989-05-29,Brigham Young,Lions,1,5,2013
Fabian Washington, Defensive Back,DB,1983-06-09,Nebraska,Raiders,1,23,2005
Felix Jones, Running Back,RB,1987-05-08,Arkansas,Cowboys,1,22,2008
Fendi Onobun, Tight End,TE,1986-11-17,Houston,Rams,6,170,2010
Fernando Velasco, Center,OL,1985-02-22,Georgia,,,,
Fili Moala, Defensive Tackle,DL,1985-06-23,Southern California,Colts,2,56,2009
Fitzgerald Toussaint, Running Back,RB,1990-05-04,Michigan,,,,
Fletcher Cox, Defensive Tackle,DL,1990-12-13,Mississippi State,Eagles,1,12,2012
Floyd Womack, Offensive Guard,OL,1978-11-15,Mississippi State,Seahawks,4,128,2001
Flozell Adams, Offensive Tackle,OL,1975-05-18,Michigan State,Cowboys,2,38,
Fozzy Whittaker, Running Back,RB,1989-02-02,Texas,,,,
Frank Alexander, Defensive End,DL,1989-12-17,Oklahoma,Panthers,4,103,2012
Frank Clark, Defensive End,DL,1993-06-14,Michigan,Seahawks,2,63,2015
Frank Gore, Running Back,RB,1983-05-14,Miami,49ers,3,65,2005
Frank Kearse, Defensive Tackle,DL,1988-10-28,Alabama A&M,Dolphins,7,231,2011
Frank Okam, Defensive Tackle,DL,1985-10-16,Texas,Texans,5,151,2008
Frank Omiyale, Offensive Tackle,OL,1982-11-23,Tennessee Tech,Falcons,5,163,2005
Frank Summers, Running Back,RB,1985-09-06,Nevada-Las Vegas,Steelers,5,169,2009
Frank Walker, Defensive Back,DB,1980-08-06,Tuskegee,Giants,6,207,2003
Frank Zombo, Linebacker,LB,1987-03-05,Central Michigan,,,,
Frankie Hammond, Wide Receiver,WR,1990-02-17,Florida,,,,
Fred Bennett, Defensive Back,DB,1983-12-31,South Carolina,Texans,4,123,2007
Fred Jackson, Running Back,RB,1981-02-20,Coe College,,,,
Fred Robbins, Defensive Tackle,DL,1977-03-25,Wake Forest,Vikings,2,55,2000
Fred Smoot, Defensive Back,DB,1979-04-17,Mississippi State,Redskins,2,45,2001
Fred Taylor, Running Back,RB,1976-01-27,Florida,Jaguars,1,9,
Freddie Martino, Wide Receiver,WR,1991-09-07,North Greenville,,,,
Frostee Rucker, Defensive End,DL,1983-09-14,Southern California,Bengals,3,91,2006
Gabe Carimi, Offensive Tackle,OL,1988-06-13,Wisconsin,Bears,1,29,2011
Gabe Jackson, Offensive Guard,OL,1991-07-12,Mississippi State,Raiders,3,81,2014
Gabe Miller, Defensive End,DL,1987-12-05,Oregon State,Chiefs,5,140,2011
Gabe Wright, Defensive Tackle,DL,1992-04-03,Auburn,Lions,4,113,2015
Gaines Adams, Defensive End,DL,1983-06-08,Clemson,Buccaneers,1,4,2007
Garrett Celek, Tight End,TE,1988-05-29,Michigan State,,,,
Garrett Gilkey, Offensive Tackle,OL,1990-07-07,Chadron State,Browns,7,227,2013
Garrett Graham, Tight End,TE,1986-08-04,Wisconsin,Texans,4,118,2010
Garrett Hartley, Kicker,K,1986-05-16,Oklahoma,,,,
Garrett McIntyre, Defensive Tackle,DL,1984-11-26,Fresno State,,,,
Garrett Mills, Tight End,TE,1983-10-12,Tulsa,Patriots,4,106,2006
Garrett Reynolds, Offensive Tackle,OL,1987-07-01,North Carolina,Falcons,5,156,2009
Garrett Wolfe, Running Back,RB,1984-08-17,Northern Illinois,Bears,3,93,2007
Garrison Sanborn, Long Snapper,OL,1985-07-31,Florida State,,,,
Garry Gilliam, Offensive Tackle,OL,1990-11-26,Penn State,,,,
Garry Williams, Offensive Tackle,OL,1986-08-20,Kentucky,,,,
Gartrell Johnson, Running Back,RB,1986-06-21,Colorado State,Chargers,4,134,2009
Gary Banks, Wide Receiver,WR,1981-11-04,Troy State,,,,
Gary Barnidge, Tight End,TE,1985-09-22,Louisville,Panthers,5,141,2008
Gary Brackett, Linebacker,LB,1980-05-23,Rutgers,,,,
Gary Gibson, Defensive Tackle,DL,1982-05-05,Rutgers,,,,
Gary Guyton, Linebacker,LB,1985-11-14,Georgia Tech,,,,
Gary Russell, Running Back,RB,1982-09-07,Minnesota,,,,
Gavin Escobar, Tight End,TE,1991-02-03,San Diego State,Cowboys,2,47,2013
Geneo Grissom, Defensive End,DL,1992-06-04,Oklahoma,Patriots,3,97,2015
Geno Atkins, Defensive Tackle,DL,1988-03-28,Georgia,Bengals,4,120,2010
Geno Hayes, Linebacker,LB,1987-08-10,Florida State,Buccaneers,6,175,2008
Geno Smith, Quarterback,QB,1990-10-10,West Virginia,Jets,2,39,2013
Geoff Hangartner, Center,OL,1982-04-22,Texas A&M,Panthers,5,169,2005
Geoff Schwartz, Offensive Tackle,OL,1986-07-11,Oregon,Panthers,7,241,2008
Geoff Swaim, Tight End,TE,1993-09-16,Texas,Cowboys,7,246,2015
Geoffrey Pope, Defensive Back,DB,1984-06-21,Howard,,,,
George Atkinson, Defensive Back,DB,1947-01-04,Morris Brown,Raiders,7,190,
George Iloka, Defensive Back,DB,1990-03-31,Boise State,Bengals,5,167,2012
George Johnson, Defensive End,DL,1987-12-11,Rutgers,,,,
George Selvie, Defensive End,DL,1987-03-06,South Florida,Rams,7,226,2010
George Winn, Running Back,RB,1990-11-10,Cincinnati,,,,
Gerald Alexander, Defensive Back,DB,1984-06-28,Boise State,Lions,2,61,2007
Gerald Hayes, Linebacker,LB,1980-10-10,Pittsburgh,Cardinals,3,70,2003
Gerald Hodges, Linebacker,LB,1991-01-17,Penn State,Vikings,4,120,2013
Gerald McCoy, Defensive Tackle,DL,1988-02-25,Oklahoma,Buccaneers,1,3,2010
Gerald McRath, Linebacker,LB,1986-06-16,Southern Mississippi,Titans,4,130,2009
Gerald Rivers, Linebacker,LB,1990-06-22,Mississippi,,,,
Gerald Sensabaugh, Defensive Back,DB,1983-06-13,North Carolina,Jaguars,5,157,2005
Gerard Lawson, Defensive Back,DB,1985-01-12,Oregon State,,,,
Gerard Warren, Defensive Tackle,DL,1978-07-25,Florida,Browns,1,3,2001
Geremy Davis, Wide Receiver,WR,1992-01-10,Connecticut,Giants,6,186,2015
Gerris Wilkinson, Linebacker,LB,1983-04-05,Georgia Tech,Giants,3,96,2006
Gibril Wilson, Defensive Back,DB,1981-11-21,Tennessee,Giants,5,136,2004
Gijon Robinson, Tight End,TE,1984-10-12,Missouri Western State,,,,
Gino Gradkowski, Offensive Guard,OL,1988-11-05,Delaware,Ravens,4,98,2012
Giovani Bernard, Running Back,RB,1991-11-22,North Carolina,Bengals,2,37,2013
Glen Coffee, Running Back,RB,1987-05-01,Alabama,49ers,3,74,2009
Glenn Carson, Linebacker,LB,1990-12-05,Penn State,,,,
Glenn Dorsey, Defensive Tackle,DL,1985-08-01,Louisiana State,Chiefs,1,5,2008
Glenn Foster, Defensive End,DL,1990-05-31,Illinois,,,,
Glenn Martinez, Wide Receiver,WR,1981-11-30,Saginaw Valley State,,,,
Glenn Pakulak, Punter,P,1980-04-09,Kentucky,,,,
Glenn Winston, Running Back,RB,1989-04-29,Northwood Institute,,,,
Glover Quin, Defensive Back,DB,1986-01-15,New Mexico,Texans,4,112,2009
Golden Tate, Wide Receiver,WR,1988-08-02,Notre Dame,Seahawks,2,60,2010
Gosder Cherilus, Offensive Tackle,OL,1984-06-28,Boston College,Lions,1,17,2008
Grady Jackson, Defensive Tackle,DL,1973-01-21,Knoxville,Raiders,6,193,
Grady Jarrett, Defensive Tackle,DL,1993-04-28,Clemson,Falcons,5,137,2015
Graham Gano, Kicker,K,1987-04-09,Florida State,,,,
Graham Harrell, Quarterback,QB,1985-05-22,Texas Tech,,,,
Greg Camarillo, Wide Receiver,WR,1982-04-18,Stanford,,,,
Greg Ducre, Defensive Back,DB,1992-01-22,Washington,,,,
Greg Ellis, Defensive End,DL,1975-08-14,North Carolina,Cowboys,1,8,
Greg Estandia, Tight End,TE,1982-11-18,Nevada-Las Vegas,,,,
Greg Hardy, Defensive End,DL,1988-07-28,Mississippi,Panthers,6,175,2010
Greg Jenkins, Wide Receiver,WR,1989-08-23,Alabama State,,,,
Greg Jennings, Wide Receiver,WR,1983-09-21,Western Michigan,Packers,2,52,2006
Greg Little, Wide Receiver,WR,1989-05-30,North Carolina,Browns,2,59,2011
Greg McElroy, Quarterback,QB,1988-05-10,Alabama,Jets,7,208,2011
Greg Olsen, Tight End,TE,1985-03-11,Miami,Bears,1,31,2007
Greg Peterson, Defensive Tackle,DL,1984-01-21,North Carolina Central,Buccaneers,5,141,2007
Greg Salas, Wide Receiver,WR,1988-08-25,Hawaii,Rams,4,112,2011
Greg Scruggs, Defensive End,DL,1990-08-17,Louisville,Seahawks,7,232,2012
Greg Toler, Defensive Back,DB,1985-01-02,St. Paul's (VA),Cardinals,4,131,2009
Greg Warren, Center,OL,1981-10-18,North Carolina,,,,
Greg Zuerlein, Kicker,K,1987-12-27,Missouri Western State,Rams,6,171,2012
Griff Whalen, Wide Receiver,WR,1990-03-01,Stanford,,,,
Guy Whimper, Defensive End,DL,1983-05-21,East Carolina,Giants,4,129,2006
H.B. Blades, Linebacker,LB,1984-09-30,Pittsburgh,Redskins,6,179,2007
Hakeem Nicks, Wide Receiver,WR,1988-01-14,North Carolina,Giants,1,29,2009
Haloti Ngata, Defensive Tackle,DL,1984-01-21,Oregon,Ravens,1,12,2006
Hamza Abdullah, Defensive Back,DB,1983-08-20,Washington State,Buccaneers,7,231,2005
Hank Baskett, Wide Receiver,WR,1982-09-04,New Mexico,,,,
Hank Poteat, Defensive Back,DB,1977-08-30,Pittsburgh,Steelers,3,77,2000
Harold Jones-Quartey, Defensive Back,DB,1993-08-06,Findlay,,,,
Harrison Smith, Defensive Back,DB,1989-02-02,Notre Dame,Vikings,1,29,2012
Harry Douglas, Wide Receiver,WR,1984-09-16,Louisville,Falcons,3,84,2008
Haruki Nakamura, Defensive Back,DB,1986-04-18,Cincinnati,Ravens,6,206,2008
Harvey Dahl, Offensive Tackle,OL,1981-06-24,Nevada,,,,
Hau'oli Kikaha, Linebacker,LB,1992-07-24,Washington,Saints,2,44,2015
Hayden Smith, Tight End,TE,1985-04-10,Metropolitan State,,,,
Hayes Pullard, Linebacker,LB,1992-04-18,Southern California,Browns,7,219,2015
Heath Evans, Running Back,RB,1978-12-30,Auburn,Seahawks,3,82,2001
Heath Farwell, Linebacker,LB,1981-12-31,San Diego State,,,,
Heath Miller, Tight End,TE,1982-10-22,Virginia,Steelers,1,30,2005
Hebron Fangupo, Defensive Tackle,DL,1985-07-19,Brigham Young,,,,
Henoc Muamba, Linebacker,LB,1989-02-23,St. Francis Xavier,,,,
Henry Anderson, Defensive End,DL,1991-08-03,Stanford,Colts,3,93,2015
Henry Melton, Defensive End,DL,1986-10-11,Texas,Bears,4,105,2009
Hilee Taylor, Linebacker,LB,1986-07-18,North Carolina,Panthers,7,221,2008
Hines Ward, Wide Receiver,WR,1976-03-08,Georgia,Steelers,3,92,
Hiram Eugene, Defensive Back,DB,1980-11-24,Louisiana Tech,,,,
Hollis Thomas, Defensive Tackle,DL,1974-01-10,Northern Illinois,,,,
Houston Bates, Linebacker,LB,1991-12-20,Louisiana Tech,,,,
Howard Green, Defensive Tackle,DL,1979-01-12,Louisiana State,Texans,6,190,2002
Howard Jones, Linebacker,LB,1990-02-10,Shepherd,,,,
Hugh Thornton, Offensive Guard,OL,1991-06-28,Illinois,Colts,3,86,2013
Hunter Hillenmeyer, Linebacker,LB,1980-10-28,Vanderbilt,Packers,5,166,2003
Hunter Smith, Punter,P,1977-08-09,Notre Dame,Colts,7,210,
